variant,mean_survival,mean_recovery,host_baseline,mean_joint_baseline_host,factorized,mean_clamp_fraction,delta_joint_vs_factorized
baseline_frozen_templates_baseline_noise,0.9863024691358026,0.910537037037037,0.44199999999999995,0.4142222222222222,0.4024573703703704,0.0,0.011764851851851832
baseline_templates_empirical_magerror,1.0,0.962253086419753,0.44199999999999995,0.4351913580246914,0.42531586419753087,0.842462962962963,0.00987549382716052
correction_aware_W2corr_empirical_magerror,1.0,0.9652901234567901,0.464,0.45246296296296296,0.44789461728395064,0.8372222222222222,0.00456834567901232
correction_aware_templates_W2corr,0.9859506172839505,0.9166049382716049,0.464,0.4312901234567901,0.4253046913580247,0.0,0.0059854320987653975
current_templates_CottenSong_W2corr,0.9863024691358026,0.9110864197530865,0.44199999999999995,0.4143703703703704,0.4027001975308642,0.0,0.011670172839506165
hard_allWISE_unsat_templates,0.985358024691358,0.6964876543209877,0.462,0.32464814814814813,0.3217772962962963,0.0,0.002870851851851819
