mode,mean_survival,mean_recovery,mean_joint_baseline_host,min_cell_recovery,delta_recovery_vs_frozen
frozen,0.9863024691358026,0.910537037037037,0.4142222222222222,0.548,0.0
frozen_fc,0.9863888888888889,0.9123086419753086,0.4148641975308642,0.566,0.0017716049382715537
wise_iso_fc,0.9863641975308641,0.9115679012345679,0.41458024691358025,0.5586666666666666,0.0010308641975308452
