mode,T_DS_K,mean_survival,mean_recovery,mean_joint
frozen,100.0,0.9827777777777778,0.8757222222222222,0.39972222222222226
frozen,150.0,0.9827777777777778,0.8799444444444444,0.401
frozen,200.0,0.9827222222222223,0.8866111111111111,0.4035555555555555
frozen,250.0,0.9838333333333332,0.8888888888888888,0.40505555555555556
frozen,300.0,0.9858888888888889,0.9107777777777777,0.41477777777777775
frozen,400.0,0.9866666666666667,0.926,0.42144444444444445
frozen,500.0,0.9873888888888889,0.9319444444444445,0.4235555555555555
frozen,600.0,0.9907777777777778,0.9423333333333334,0.42683333333333334
frozen,700.0,0.9938888888888888,0.9526111111111111,0.4320555555555556
frozen_fc,100.0,0.9827777777777778,0.8802222222222222,0.4007222222222222
frozen_fc,150.0,0.9827777777777778,0.8839444444444444,0.4021111111111111
frozen_fc,200.0,0.9827777777777778,0.8877777777777777,0.40427777777777774
frozen_fc,250.0,0.9841666666666667,0.8918888888888888,0.4063888888888889
frozen_fc,300.0,0.9862777777777779,0.9138888888888889,0.41638888888888886
frozen_fc,400.0,0.9866666666666667,0.9260555555555555,0.42144444444444445
frozen_fc,500.0,0.9873888888888889,0.9320555555555555,0.4235555555555555
frozen_fc,600.0,0.9907777777777778,0.9423333333333334,0.42683333333333334
frozen_fc,700.0,0.9938888888888888,0.9526111111111111,0.4320555555555556
wise_iso_fc,100.0,0.9827777777777778,0.8787222222222222,0.4003333333333334
wise_iso_fc,150.0,0.9827777777777778,0.8826666666666667,0.4018333333333333
wise_iso_fc,200.0,0.9827777777777778,0.8875555555555555,0.40399999999999997
wise_iso_fc,250.0,0.9840555555555556,0.8901111111111111,0.4056111111111111
wise_iso_fc,300.0,0.9861666666666666,0.9121666666666667,0.4156111111111111
wise_iso_fc,400.0,0.9866666666666667,0.926,0.42144444444444445
wise_iso_fc,500.0,0.9873888888888889,0.9319999999999999,0.4235
wise_iso_fc,600.0,0.9907777777777778,0.9422777777777777,0.42683333333333334
wise_iso_fc,700.0,0.9938888888888888,0.9526111111111111,0.4320555555555556
