sample,N,W1_lt8p1,W2_lt6p7,W3_lt3p8,W4_ltm0p4,W1_lt4p5,W2_lt2p8,MG_min,MG_max
frozen_templates,265,86,58,0,0,2,0,0.1298244542417492,13.574466255899033
frozen_validation,3000,1542,436,3,0,14,1,0.0139109096923704,13.577326618690606
