noise_model,mean_survival,mean_recovery,mean_joint_baseline_host,delta_recovery_vs_frozen
baseline_absolute,0.9863024691358023,0.9105370370370371,0.41422222222222227,1.1102230246251565e-16
poisson_scaled,0.9966481481481481,0.9556851851851853,0.43354320987654316,0.04514814814814827
conservative_floor_poisson,0.9863024691358023,0.9103086419753086,0.4141543209876544,-0.00022839506172844803
constant_fractional,0.7402901234567899,0.7017345679012346,0.33085185185185184,-0.20880246913580247
