source_id,band,product,path,bytes,sha256
6270906415441316224,W3,cov,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/6270906415441316224_w3_cov.fits.gz,33673,a089f22c935d2418a226b204c875cde42cfb1071cadff09b39172b5dbb03d18d
5461082016725619072,W4,unc,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/5461082016725619072_w4_unc.fits.gz,31535,f8b20b410056a4d00d4acc4fd56fe67853fad07dd33b8d711f0136bb2a1ba21c
3741076154456059520,W3,unc,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/3741076154456059520_w3_unc.fits.gz,30431,949e3eecd631d87c666db5aa3b551324b7fdb785c63cde26c3becbb20fc50779
4306764888273736064,W4,unc,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/4306764888273736064_w4_unc.fits.gz,30452,c6a1cb6fa5b7c141d4bffec8a9932c7982bf3fa33e677203de9cb4e232a4e978
6146107993101452160,W4,int,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/6146107993101452160_w4_int.fits,41454,5b9f8c69ce3d57602a937323dfb3706b5e30dfd16eac31abc201b5cb72b423a0
2763655225542686336,W3,int,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/2763655225542686336_w3_int.fits,47090,1be31f9a96d7e93a83084872c63d89cb2caff2b0bdc62150c2f8bab6fde2b4c4
6270906415441316224,W3,unc,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/6270906415441316224_w3_unc.fits.gz,31517,2dc9a9c7ec4853807a60b55179c97263b4bcfba2c97097c9bbb930ced3193f5a
6162624723631708416,W3,cov,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/6162624723631708416_w3_cov.fits.gz,32314,aeba416e09637f204737d8cd88679b0f73f278f5bea289f91f9038e3c3557249
2717793736553222400,W3,unc,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/2717793736553222400_w3_unc.fits.gz,33556,7c4886d2c1c3761063730c788d156d88a3e853d496519d8b30eb2a37897c3107
1462929465189728384,W4,cov,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/1462929465189728384_w4_cov.fits.gz,32841,56a9b2deaa8d0a1a4c92e0cf6e48d9130c10929dcc416e4f0efe591a36446834
6146107993101452160,W3,int,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/6146107993101452160_w3_int.fits,46706,e918f2eeb982a8405790c6646d6e3160577816f9bc1efe815fe53274ea0b7902
1929212795840438656,W3,cov,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/1929212795840438656_w3_cov.fits.gz,32676,6ea077ef9f3a2139e4eea2c9cd976fde3d305e8d2dc1f8da6d64803f5da2fbaf
3508297413868521984,W4,cov,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/3508297413868521984_w4_cov.fits.gz,30804,43be44c66283feb105896364d5b9e0ebdd0e2d0c9eb2638547dd16195cfe9414
1618450162257805184,W4,unc,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/1618450162257805184_w4_unc.fits.gz,29871,5e7d012279e539f038e126ddd8c923fb9fa0d4e51c727b3cd10962a4ac0b3ac1
106316486574257792,W4,int,/mnt/data/e17i_real_fits_full/GTCO_E17_WISE_cutouts/106316486574257792_w4_int.fits,42785,584ae3aee8eb4101e0da9c7b0ca27ede132d13f382bdd28281fc9d3868446bd3
