source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,ruwe,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,wise_cc_flags,wise_ext_flag,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,distance_invparallax_pc,M_G_invparallax,heph_cmd_main_sequence,T_colorfit_K,baseline_rms_mag,Fbol_fit_Wm2,mir_resid_proxy,saturation_flag,template_id,_origin,w2mpro_raw
6222132320152241152,12.201671,13.179396,11.217204,2628.6729,1170.8446,2359.3208,1.9621916,1.1331216,9.042,0.024,8.989,0.02,8.866,0.029,8.384,0.236,0000,0.0,9.985,0.023,9.35,0.024,9.152,0.021,54.77337041596175,8.508823672203086,True,3438.093203183128,0.1757101645216812,5.012054025862737e-13,,,,validation,8.989
2311786114375020160,11.973219,12.967948,10.986876,2373.1892,944.0361,2038.2247,1.9810724,1.2346867,8.788,0.023,8.757,0.02,8.647,0.026,8.261,0.235,0000,0.0,9.786,0.024,9.157,0.024,8.939,0.021,48.64174922533233,8.538173078087617,True,3402.8306509164136,0.1641420593325547,6.00833205235941e-13,,,,validation,8.757
802074151711399936,12.206127,13.296471,11.167346,2637.9402,1244.2216,1956.3691,2.1291246,1.8077075,8.824,0.023,8.803,0.019,8.691,0.025,8.583,0.381,0000,0.0,9.804,0.022,9.168,0.021,8.954,0.013,53.243955727178886,8.574775431776906,True,3395.381030838932,0.1786583069869108,6.028174179451364e-13,,,,validation,8.803
6143992296510398208,11.285151,12.325744,10.26388,3383.902,1637.1842,3480.4705,2.061864,1.3799388,7.911,0.032,7.815,0.03,7.83,0.025,7.759,0.129,0000,1.0,8.851,0.023,8.262,0.023,8.058,0.021,34.39317134223087,8.60278988347645,True,3543.563158811653,0.134343163718481,1.5507149128233884e-12,,,,validation,7.815
6010508698689256064,13.50035,15.023532,12.290063,1178.6068,204.50354,535.2452,2.733469,1.3083636,9.588,0.023,9.409,0.02,9.305,0.044,8.737,0.437,0000,0.0,10.541,0.023,9.923,0.027,9.662,0.023,94.1467472999174,8.631323399696992,True,3325.212875651117,0.1591482873110249,2.9160256497135895e-13,,,,validation,9.409
3635665837262472960,13.645552,14.8243,12.53318,969.2817,602.4513,1355.71,2.2911196,12.981746,10.12,0.023,10.025,0.02,9.917,0.047,9.017,0.482,0000,0.0,11.092,0.027,10.481,0.024,10.244,0.019,99.32360897089652,8.660289542663985,True,3400.3435681227525,0.1523064165810058,1.8073125029344211e-13,,,,validation,10.025
5670887900662045696,12.470793,13.532274,11.448643,2952.8853,795.20856,1353.4757,2.0836315,1.4153205,9.196,0.023,9.144,0.02,9.033,0.03,8.971,0.505,0000,0.0,10.144,0.023,9.523,0.022,9.337,0.021,56.99184715961009,8.691729334517976,True,3505.824257155828,0.1556910416222161,4.471337526710717e-13,,,,validation,9.144
5282078981103235200,13.619821,14.985434,12.46566,612.5246,139.76768,270.16757,2.5197735,1.1515726,9.879,0.023,9.75,0.02,9.658,0.031,9.626,0.539,hh00,1.0,10.841,0.024,10.209,0.022,9.98,0.023,95.46694243255432,8.720555932893191,True,3368.37538597609,0.1596418132267281,2.266106559709165e-13,,,,validation,9.75
2049609864542673280,12.162229,13.149245,11.180214,4306.5127,1289.1145,2510.2708,1.9690313,1.0314783,9.002,0.022,8.941,0.02,8.802,0.025,8.327,0.262,0000,0.0,9.951,0.022,9.326,0.028,9.128,0.024,48.17225725850364,8.748244015060155,True,3463.791082888152,0.1648418264821042,5.155395427311487e-13,,,,validation,8.941
4757099218646861824,13.644975,14.716733,12.61769,3195.0098,826.8422,1814.8341,2.099043,1.0384687,10.323,0.023,10.271,0.02,10.19,0.033,9.864,0.449,0000,0.0,11.305,0.022,10.629,0.025,10.452,0.023,94.01105389692805,8.779080393480427,True,3387.9675142207925,0.1803583655504148,1.4770473179096297e-13,,,,validation,10.271
