source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,ruwe,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,wise_cc_flags,wise_ext_flag,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,distance_invparallax_pc,M_G_invparallax,heph_cmd_main_sequence,T_colorfit_K,baseline_rms_mag,Fbol_fit_Wm2,mir_resid_proxy,saturation_flag,template_id,_origin
5076165054791487872,13.163149,14.526868,12.012237,1446.8953,292.31653,569.28406,2.5146313,1.2331823,9.461,0.022,9.355,0.021,9.19,0.027,9.293,0.478,0000,0.0,10.435,0.024,9.856,0.023,9.591,0.021,51.88403910233245,9.5879801101667,True,3410.3185549004515,0.1382181727216518,3.3287925112228014e-13,,,,validation
4873746132349363328,12.983364,14.239576,11.874123,3194.2732,881.1082,1553.1179,2.3654537,1.2365988,9.437,0.022,9.323,0.02,9.195,0.027,9.035,0.459,0000,0.0,10.394,0.027,9.807,0.025,9.581,0.021,47.43947887542569,9.602664451799289,True,3489.9270082555154,0.1290126978383207,3.521733145721942e-13,,,,validation
1873913992390124928,12.80255,13.922141,11.750378,2830.168,919.9589,2219.8982,2.1717634,1.306048,9.474,0.023,9.341,0.02,9.208,0.034,9.02,0.441,0,0.0,10.388,0.021,9.842,0.022,9.62,0.017,43.167106349371096,9.626785313658695,True,3613.295544627457,0.107029580037374,3.730818078406116e-13,0.1761642474265059,False,186.0,template
955071156057616000,12.717067,13.879202,11.645502,2973.2844,753.7052,2133.942,2.2336998,1.287755,9.308,0.024,9.18,0.02,9.119,0.035,8.924,0.515,0000,0.0,10.263,0.024,9.682,0.029,9.451,0.023,41.15409361609002,9.645001794183834,True,3492.5655665713703,0.1245471902737639,3.96879207218517e-13,,,,validation
4830806423713008640,13.782221,15.09408,12.651576,2809.786,798.24475,1659.5364,2.442504,1.1067448,10.157,0.023,10.042,0.02,9.923,0.034,9.312,0.334,hh00,0.0,11.136,0.022,10.524,0.022,10.27,0.019,66.62110737486813,9.664161763748254,True,3356.259692867321,0.1532998362670733,1.7359767732025299e-13,,,,validation
2156905882832596480,13.376191,14.643903,11.957863,766.1726,294.0936,533.8575,2.68604,20.242882,9.235,0.024,9.095,0.02,8.971,0.023,8.822,0.202,0000,0.0,10.266,0.022,9.659,0.019,9.383,0.015,54.817387249619,9.681599339979885,True,3315.7901035597165,0.1317397562339402,3.9655484016573773e-13,,,,validation
1013375508899593984,14.018047,15.039972,12.475801,117.64849,465.87738,937.2829,2.5641708,45.249084,9.908,0.024,9.74,0.02,9.574,0.036,9.015,0.541,hh00,0.0,10.897,0.023,10.298,0.026,10.07,0.022,72.84289499040864,9.706111011984753,True,3453.460323503029,0.1095871181519359,2.251290615467448e-13,,,,validation
1132559859227065344,13.649436,15.130605,12.460497,1080.4409,240.33107,481.71606,2.6701078,1.2057773,9.797,0.022,9.672,0.02,9.496,0.035,9.092,0.516,0000,0.0,10.759,0.021,10.142,0.018,9.908,0.021,60.75053609803348,9.731685426229287,True,3392.9053184408926,0.1513852295262215,2.509539501622927e-13,,,,validation
5382212982513931904,13.266152,14.66521,12.099777,2828.0984,643.0834,1155.1722,2.5654325,1.2554066,9.58,0.023,9.442,0.02,9.184,0.028,8.842,0.332,0000,2.0,10.52,0.022,9.942,0.026,9.702,0.021,50.47651999355813,9.750704971641715,True,3476.803557991988,0.1301893267016818,3.1272675816996644e-13,,,,validation
3871785031614139776,12.697027,13.879604,11.620038,2338.798,548.6587,1569.0812,2.2595663,1.117285,9.262,0.024,9.137,0.021,9.024,0.036,8.272,0.289,0000,0.0,10.22,0.021,9.624,0.022,9.408,0.017,38.44481274280327,9.772838250593884,True,3492.565566571368,0.1260674695297388,4.2647203716912166e-13,,,,validation
2662511150902343424,13.420528,14.716006,12.295287,2858.8418,645.8885,1489.084,2.4207191,3.1339605,9.805,0.022,9.67,0.02,9.616,0.044,8.785,0.453,dd00,0.0,10.801,0.023,10.181,0.023,9.954,0.021,53.05334167346604,9.796964279865035,True,3402.8306509164127,0.1311374683827221,2.414395581750332e-13,,,,validation
4586468105070182784,12.656654,14.019092,11.499106,2623.6084,960.5577,2085.393,2.5199852,1.2999225,9.054,0.022,8.885,0.021,8.787,0.026,8.548,0.279,0,0.0,9.937,0.022,9.394,0.017,9.172,0.019,36.930940924769175,9.81970213636879,True,3621.873935078864,0.1111340263863966,5.705940080339111e-13,0.2091984282269265,False,190.0,template
1375534023248855296,13.529054,14.781347,12.227435,2986.467,128.48065,101.4344,2.5539122,1.325264,9.623,0.022,9.455,0.02,9.308,0.028,9.069,0.329,0000,0.0,10.613,0.025,10.043,0.03,9.843,0.023,54.67610282212621,9.840066242207577,True,3607.6030627877335,0.0734280137850976,3.0847645290398186e-13,,,,validation
4179996557704888960,13.0915575,14.508338,11.920561,1788.6139,726.3782,1722.9221,2.5877771,16.525757,9.445,0.023,9.256,0.02,9.133,0.034,8.607,0.404,0000,0.0,10.325,0.023,9.834,0.022,9.571,0.023,44.202368498407495,9.864329795988724,True,3653.725051918757,0.0885835369356859,3.9403767583364773e-13,,,,validation
5481550456467646976,13.800882,15.2751465,12.615529,2264.3433,503.0362,1005.552,2.6596174,1.2993824,9.924,0.023,9.834,0.02,9.682,0.032,9.109,0.302,0000,0.0,10.976,0.026,10.307,0.025,10.062,0.021,60.45405953211893,9.893754653238329,True,3244.751903912064,0.1686777017711792,1.9490971946928773e-13,,,,validation
3142446430241371008,13.14412,14.471562,12.009386,1671.9625,485.05038,1659.4238,2.4621763,1.1846099,9.509,0.023,9.399,0.019,9.289,0.038,8.482,0.364,0000,0.0,10.473,0.022,9.901,0.024,9.63,0.023,44.24599065501504,9.914750383620788,True,3412.8220853950306,0.1406553246371004,3.1737210578800453e-13,,,,validation
387731166240901632,13.330006,14.534026,11.761297,374.69086,492.36523,1266.6207,2.772729,40.25242,9.0,0.022,8.866,0.02,8.733,0.024,8.659,0.261,0000,0.0,10.086,0.021,9.422,0.021,9.163,0.017,47.48763604517701,9.94710324622428,True,3224.764068453821,0.1425875961408886,4.593409729210123e-13,,,,validation
1336988963803208448,12.685598,13.995087,11.549934,2349.2476,680.81635,1690.037,2.4451523,1.3364751,9.196,0.022,9.007,0.02,8.907,0.025,8.512,0.273,0,0.0,10.055,0.021,9.547,0.022,9.328,0.019,34.9812086297344,9.966423946820116,True,3734.670181474864,0.0867743137859176,5.223596687623463e-13,0.1391346908134796,False,193.0,template
1847100064887658624,13.180658,14.463861,12.061633,4096.666,1166.027,2531.3472,2.4022284,1.1001111,9.621,0.022,9.485,0.02,9.36,0.036,8.94,0.442,0000,0.0,10.568,0.02,10.005,0.022,9.766,0.018,43.53334080076369,9.98654801642254,True,3519.1972024089814,0.1140519710021559,3.0845686507201056e-13,,,,validation
4519581823479559040,12.918487,14.270473,11.771379,2383.7327,684.3373,1136.4069,2.499093,1.1472028,9.267,0.023,9.133,0.019,8.97,0.031,8.393,0.274,0h00,0.0,10.224,0.02,9.638,0.017,9.419,0.014,37.92624609891732,10.023787705970072,True,3511.160074906796,0.1191561026999813,4.3260052494998243e-13,,,,validation
356120859778314240,13.592507,15.068753,12.404067,2123.3408,595.43585,1853.5651,2.6646862,1.0080496,9.725,0.024,9.614,0.02,9.428,0.039,8.93,0.528,0000,0.0,10.759,0.022,10.079,0.028,9.86,0.022,51.07355450749773,10.05152657999259,True,3278.6932361959075,0.1654356256781209,2.408948546171743e-13,,,,validation
5018649189225937792,12.590471,13.933957,11.433012,3691.687,800.29895,1994.6525,2.500945,1.6288837,8.924,0.023,8.776,0.021,8.678,0.028,8.282,0.244,0000,0.0,9.944,0.024,9.348,0.024,9.067,0.021,31.90920446699877,10.070891115650966,True,3329.9477619480645,0.1275413496294178,5.211938789892949e-13,,,,validation
5231827515845768448,14.67331,15.530837,13.016255,530.35504,209.28961,683.3788,2.5145817,33.96448,10.267,0.022,10.134,0.019,10.02,0.035,9.29,0.372,hhhH,1.0,11.443,0.028,10.846,0.027,10.589,0.024,82.17593748809965,10.09958666327239,True,3385.5044565636017,0.0505780730162999,1.4085870392183274e-13,,,,validation
3396259618542319360,13.9277725,14.655098,12.200549,954.26935,58.243855,79.78529,2.4545488,1.7054527,9.606,0.023,9.466,0.021,9.384,0.05,8.628,0.447,0000,0.0,10.609,0.019,10.002,0.017,9.799,0.018,57.695011969500754,10.122081161063754,True,3497.855553876879,0.1049205277491726,3.081722030148597e-13,,,,validation
6378892098104874880,13.39206,15.038931,12.155352,1738.9341,338.32208,755.88257,2.8835793,1.3490074,9.389,0.023,9.208,0.02,9.062,0.03,8.87,0.419,0000,0.0,10.402,0.024,9.83,0.025,9.555,0.025,44.4796095110549,10.15125517052236,True,3402.8306509164127,0.099987374155292,3.492546618955042e-13,,,,validation
5256152393867618688,13.531364,14.745366,12.024785,1237.2781,30.335878,40.86302,2.720581,1.3761659,8.805,0.023,8.697,0.021,8.575,0.02,8.31,0.187,0,0.0,9.988,0.03,9.388,0.035,9.122,0.03,46.91131278019586,10.174976067281095,True,3356.259692867321,0.0640045552155503,5.26432779699841e-13,0.1427846142161808,False,197.0,template
3132301476972621184,12.3802,13.945358,11.166424,1718.682,402.32782,1105.371,2.7789345,1.2881502,8.383,0.022,8.28,0.02,8.164,0.022,7.667,0.166,0000,0.0,9.453,0.021,8.82,0.025,8.547,0.021,27.32837788404732,10.197130728641426,True,3262.7551278695214,0.1424743429601061,8.071318382803215e-13,,,,validation
4739382444180814336,13.325589,14.723439,12.162969,2836.741,603.4707,1709.8037,2.5604706,3.244585,9.632,0.023,9.454,0.019,9.262,0.028,9.309,0.482,0000,0.0,10.625,0.024,10.071,0.025,9.805,0.021,41.67411754185728,10.226256938394751,True,3471.585435441213,0.0900578890598597,2.900878205600521e-13,,,,validation
3281680164644906112,12.648895,14.004579,11.497564,2368.2268,639.344,1080.53,2.5070143,1.2130798,8.983,0.024,8.843,0.02,8.746,0.026,8.904,0.521,0000,0.0,9.981,0.023,9.388,0.024,9.168,0.025,30.072581017648552,10.258041482108183,True,3489.927008255518,0.1034916651161747,5.30006748866768e-13,,,,validation
1393681260799837184,12.688842,13.933574,11.234962,1197.5093,630.74316,1308.5312,2.6986113,34.721027,8.621,0.023,8.433,0.02,8.281,0.021,7.911,0.139,0000,0.0,9.595,0.02,9.05,0.017,8.778,0.018,30.26954165837256,10.283812775419754,True,3479.4196591784307,0.0935374072970201,7.646685548220551e-13,,,,validation
